Version 2:CSV
Datum:,WGS-84
ZoneOffset:,-8.000000
"Type","Name|Color|Visibility","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Altitude (Feet)","Depth (Feet)","Temp Deg C","Units","DP","DS","DT","VP (Mi/hr)","TP"
T,,70.59525294,-150.04617308,8,19,2008,10,16,16,1e25,1e25,-20.600000,"SM",0.0069,2.3570,2.3570,2.772493,9,
T,,70.59528345,-150.04614257,8,19,2008,10,16,19,1e25,1e25,-20.600000,"SM",0.0022,2.3592,2.3592,2.665618,3,
T,,70.59543609,-150.04597468,8,19,2008,10,16,34,1e25,1e25,-20.600000,"SM",0.0112,2.3704,2.3704,2.694761,15,
T,,70.59567254,-150.04557797,8,19,2008,10,16,59,1e25,1e25,-20.600000,"SM",0.0187,2.3891,2.3891,2.693382,25,
T,,70.59596247,-150.04565424,8,19,2008,10,17,26,1e25,1e25,-20.600000,"SM",0.0201,2.4092,2.4092,2.681148,27,
T,,70.59623715,-150.04556271,8,19,2008,10,17,53,1e25,1e25,-20.600000,"SM",0.0191,2.4283,2.4283,2.545888,27,
T,,70.59632105,-150.04554746,8,19,2008,10,18,2,1e25,1e25,-20.600000,"SM",0.0058,2.4341,2.4341,2.323078,9,
T,,70.59658047,-150.04606621,8,19,2008,10,18,30,1e25,1e25,-20.600000,"SM",0.0215,2.4557,2.4557,2.766730,28,
T,,70.59685514,-150.04641716,8,19,2008,10,18,57,1e25,1e25,-20.600000,"SM",0.0206,2.4763,2.4763,2.748952,27,
T,,70.59716033,-150.04663082,8,19,2008,10,19,25,1e25,1e25,-20.600000,"SM",0.0216,2.4979,2.4979,2.783448,28,
T,,70.59751128,-150.04641716,8,19,2008,10,19,58,1e25,1e25,-20.600000,"SM",0.0247,2.5227,2.5227,2.698829,33,
T,,70.59761044,-150.04629512,8,19,2008,10,20,7,1e25,1e25,-20.600000,"SM",0.0074,2.5301,2.5301,2.960674,9,
T,,70.59762569,-150.04629512,8,19,2008,10,20,9,1e25,1e25,-20.600000,"SM",0.0011,2.5311,2.5311,1.897242,2,
T,,70.59766383,-150.04626461,8,19,2008,10,20,12,1e25,1e25,-20.600000,"SM",0.0027,2.5338,2.5338,3.271832,3,
T,,70.59790037,-150.04609672,8,19,2008,10,20,35,1e25,1e25,-20.600000,"SM",0.0168,2.5506,2.5506,2.628206,23,
T,,70.59797664,-150.04605096,8,19,2008,10,20,42,1e25,1e25,-20.600000,"SM",0.0054,2.5560,2.5560,2.763659,7,
T,,70.59823606,-150.04602045,8,19,2008,10,21,5,1e25,1e25,-20.600000,"SM",0.0179,2.5740,2.5740,2.807666,23,
T,,70.59850311,-150.04627987,8,19,2008,10,21,31,1e25,1e25,-20.600000,"SM",0.0194,2.5933,2.5933,2.684510,26,
T,,70.59876245,-150.04658505,8,19,2008,10,21,56,1e25,1e25,-20.600000,"SM",0.0192,2.6126,2.6126,2.770390,25,
T,,70.59878533,-150.04664607,8,19,2008,10,21,59,1e25,1e25,-20.600000,"SM",0.0021,2.6147,2.6147,2.534556,3,
T,,70.59883880,-150.04678337,8,19,2008,10,22,5,1e25,1e25,-20.600000,"SM",0.0049,2.6195,2.6195,2.913663,6,
T,,70.59908289,-150.04692075,8,19,2008,10,22,32,1e25,1e25,-20.600000,"SM",0.0172,2.6367,2.6367,2.287546,27,
T,,70.59940333,-150.04687498,8,19,2008,10,23,2,1e25,1e25,-20.600000,"SM",0.0222,2.6589,2.6589,2.659822,30,
T,,70.59973902,-150.04711906,8,19,2008,10,23,33,1e25,1e25,-20.600000,"SM",0.0239,2.6827,2.6827,2.770977,31,
T,,70.59986115,-150.04734797,8,19,2008,10,23,46,1e25,1e25,-20.600000,"SM",0.0099,2.6927,2.6927,2.752557,13,
T,,70.60018913,-150.04760739,8,19,2008,10,24,17,1e25,1e25,-20.600000,"SM",0.0234,2.7161,2.7161,2.720967,31,
T,,70.60053245,-150.04771418,8,19,2008,10,24,48,1e25,1e25,-20.600000,"SM",0.0238,2.7399,2.7399,2.769396,31,
T,,70.60082238,-150.04780571,8,19,2008,10,25,14,1e25,1e25,-20.600000,"SM",0.0201,2.7601,2.7601,2.788902,26,
T,,70.60109706,-150.04792783,8,19,2008,10,25,40,1e25,1e25,-20.600000,"SM",0.0192,2.7793,2.7793,2.656252,26,
T,,70.60135648,-150.04801936,8,19,2008,10,26,5,1e25,1e25,-20.600000,"SM",0.0180,2.7973,2.7973,2.598746,25,
T,,70.60167692,-150.04795834,8,19,2008,10,26,34,1e25,1e25,-20.600000,"SM",0.0222,2.8195,2.8195,2.753941,29,
T,,70.60198210,-150.04782096,8,19,2008,10,27,2,1e25,1e25,-20.600000,"SM",0.0213,2.8408,2.8408,2.741224,28,
T,,70.60233305,-150.04783630,8,19,2008,10,27,32,1e25,1e25,-20.600000,"SM",0.0243,2.8651,2.8651,2.910107,30,
T,,70.60261535,-150.04779045,8,19,2008,10,27,58,1e25,1e25,-20.600000,"SM",0.0195,2.8846,2.8846,2.704650,26,
T,,70.60289757,-150.04803462,8,19,2008,10,28,25,1e25,1e25,-20.600000,"SM",0.0203,2.9049,2.9049,2.705122,27,
T,,70.60318750,-150.04817192,8,19,2008,10,28,51,1e25,1e25,-20.600000,"SM",0.0203,2.9252,2.9252,2.807787,26,
T,,70.60334005,-150.04837031,8,19,2008,10,29,6,1e25,1e25,-20.600000,"SM",0.0115,2.9367,2.9367,2.755534,15,
T,,70.60337065,-150.04847710,8,19,2008,10,29,10,1e25,1e25,-20.600000,"SM",0.0032,2.9399,2.9399,2.912504,4,
T,,70.60341641,-150.04859922,8,19,2008,10,29,15,1e25,1e25,-20.600000,"SM",0.0042,2.9441,2.9441,3.042080,5,
T,,70.60369872,-150.04872127,8,19,2008,10,29,42,1e25,1e25,-20.600000,"SM",0.0197,2.9638,2.9638,2.627363,27,
T,,70.60371397,-150.04872127,8,19,2008,10,29,44,1e25,1e25,-20.600000,"SM",0.0011,2.9649,2.9649,1.897242,2,
T,,70.60392754,-150.04873652,8,19,2008,10,30,4,1e25,1e25,-20.600000,"SM",0.0148,2.9796,2.9796,2.656887,20,
T,,70.60419459,-150.04895017,8,19,2008,10,30,28,1e25,1e25,-20.600000,"SM",0.0191,2.9987,2.9987,2.863706,24,
T,,70.60440824,-150.04924010,8,19,2008,10,30,54,1e25,1e25,-20.600000,"SM",0.0162,3.0149,3.0149,2.241949,26,
T,,70.60453028,-150.04910273,8,19,2008,10,31,7,1e25,1e25,-20.600000,"SM",0.0090,3.0239,3.0239,2.492893,13,
T,,70.60478970,-150.04885856,8,19,2008,10,31,32,1e25,1e25,-20.600000,"SM",0.0188,3.0427,3.0427,2.704221,25,
T,,70.60513303,-150.04885856,8,19,2008,10,32,3,1e25,1e25,-20.600000,"SM",0.0237,3.0664,3.0664,2.754734,31,
T,,70.60541533,-150.04884331,8,19,2008,10,32,29,1e25,1e25,-20.600000,"SM",0.0195,3.0859,3.0859,2.701159,26,
