Version 2:CSV
Datum:,WGS-84
ZoneOffset:,0.000000
"Type","Name","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Comment","Symbol#","SymbolColor","SymbolDisplay","Altitude (Meters)","Depth (Meters)","Temp Deg C","Ref Dist","Ref units"
W,001,70.54788667,-149.21208833,7,21,2008,11,0,0,21-JUL-08 11:00,18,Default Color,S+N,1.327515,1e25,1e25,0.0,feet
W,002,70.53270833,-149.08479333,7,21,2008,11,32,0,21-JUL-08 11:32,18,Default Color,S+N,0.606567,1e25,1e25,3.112,S mi
W,003,70.48795000,-148.70027000,7,21,2008,13,6,0,21-JUL-08 13:06,18,Default Color,S+N,1.567871,1e25,1e25,12.500,S mi
"Type","Name|Color|Visibility","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Altitude (Meters)","Depth (Meters)","Temp Deg C","Units","DP","DS","DT","VP (Mi/hr)","TP"
T,,70.53985333,-149.14302667,7,21,2008,19,17,18,-6.111206,1e25,1e25,"SM",0.0159,2.9336,2.9336,5.740894,10,
T,,70.53975667,-149.14233667,7,21,2008,19,17,28,-6.111206,1e25,1e25,"SM",0.0172,2.9508,2.9508,6.202805,10,
T,,70.53967167,-149.14169833,7,21,2008,19,17,38,-6.111206,1e25,1e25,"SM",0.0158,2.9666,2.9666,5.696573,10,
T,,70.53960667,-149.14097667,7,21,2008,19,17,48,-6.111206,1e25,1e25,"SM",0.0172,2.9839,2.9839,6.194974,10,
T,,70.53953167,-149.14023833,7,21,2008,19,17,58,-5.630493,1e25,1e25,"SM",0.0178,3.0016,3.0016,6.396493,10,
T,,70.53944000,-149.13954833,7,21,2008,19,18,8,-3.707886,1e25,1e25,"SM",0.0171,3.0187,3.0187,6.155747,10,
T,,70.53934333,-149.13888667,7,21,2008,19,18,18,-3.707886,1e25,1e25,"SM",0.0166,3.0354,3.0354,5.987168,10,
T,,70.53925167,-149.13818667,7,21,2008,19,18,28,-2.746704,1e25,1e25,"SM",0.0173,3.0527,3.0527,6.232847,10,
T,,70.53920000,-149.13748667,7,21,2008,19,18,38,-2.265991,1e25,1e25,"SM",0.0165,3.0692,3.0692,5.941500,10,
T,,70.53914500,-149.13676833,7,21,2008,19,18,48,-2.265991,1e25,1e25,"SM",0.0170,3.0861,3.0861,6.107969,10,
T,,70.53907500,-149.13606667,7,21,2008,19,18,58,-1.785278,1e25,1e25,"SM",0.0169,3.1030,3.1030,6.069784,10,
T,,70.53901000,-149.13538167,7,21,2008,19,19,8,-1.304688,1e25,1e25,"SM",0.0164,3.1194,3.1194,5.902350,10,
T,,70.53894333,-149.13475333,7,21,2008,19,19,18,-1.304688,1e25,1e25,"SM",0.0152,3.1346,3.1346,5.464685,10,
T,,70.53886167,-149.13402000,7,21,2008,19,19,28,-0.824097,1e25,1e25,"SM",0.0178,3.1524,3.1524,6.407686,10,
T,,70.53882000,-149.13326667,7,21,2008,19,19,38,0.137451,1e25,1e25,"SM",0.0176,3.1700,3.1700,6.328380,10,
T,,70.53878667,-149.13255000,7,21,2008,19,19,48,0.618042,1e25,1e25,"SM",0.0167,3.1866,3.1866,5.996683,10,
T,,70.53874500,-149.13182667,7,21,2008,19,19,58,0.618042,1e25,1e25,"SM",0.0169,3.2035,3.2035,6.083282,10,
T,,70.53873333,-149.13106333,7,21,2008,19,20,8,1.579346,1e25,1e25,"SM",0.0176,3.2211,3.2211,6.332492,10,
