Version 2:CSV
Datum:,WGS-84
ZoneOffset:,-8.000000
"Type","Name|Color|Visibility","Lat","Long","Month#","Day#","Year","Hour","Min","Sec","Altitude (Feet)","Depth (Feet)","Temp Deg C","Units","DP","DS","DT","VP (Mi/hr)","TP"
T,,70.60161757,-150.04800889,8,19,2008,10,26,20,5.181580,1e25,1e25,"SM",0.0273,0.8642,3.8767,2.728934,36,
T,,70.60223138,-150.04770521,8,19,2008,10,27,22,16.219973,1e25,1e25,"SM",0.0430,0.9071,3.9197,2.495538,62,
T,,70.60287151,-150.04769222,8,19,2008,10,28,21,13.066490,1e25,1e25,"SM",0.0442,0.9514,3.9640,2.698746,59,
T,,70.60301098,-150.04694791,8,19,2008,10,28,28,16.219973,1e25,1e25,"SM",0.0196,0.9710,3.9836,10.085509,7,
T,,70.60313361,-150.04662964,8,19,2008,10,28,40,16.219973,1e25,1e25,"SM",0.0112,0.9822,3.9947,3.355727,12,
T,,70.60380223,-150.04755492,8,19,2008,10,29,41,16.219973,1e25,1e25,"SM",0.0508,1.0330,4.0456,3.000559,61,
N,,70.60443582,-150.04908496,8,19,2008,10,30,54,16.219973,1e25,1e25,"SM",0.0561,0.0000,4.1017,2.767328,73,
T,,70.60449097,-150.04912837,8,19,2008,10,30,55,16.219973,1e25,1e25,"SM",0.0039,0.0039,4.1056,14.179578,1,
T,,70.60459097,-150.04904196,8,19,2008,10,31,2,-5.857212,1e25,1e25,"SM",0.0072,0.0111,4.1128,3.696669,7,
T,,70.60493312,-150.04874666,8,19,2008,10,31,33,3.604438,1e25,1e25,"SM",0.0246,0.0357,4.1374,2.855848,31,
T,,70.60559722,-150.04853653,8,19,2008,10,32,38,2.027697,1e25,1e25,"SM",0.0461,0.0819,4.1836,2.555301,65,
N,,70.60587290,-150.04893794,8,19,2008,10,32,58,2.027697,1e25,1e25,"SM",0.0212,0.0000,4.2047,3.808331,20,
T,,70.60622687,-150.04928051,8,19,2008,10,33,25,-37.396448,1e25,1e25,"SM",0.0257,0.0257,4.2304,3.425162,27,
N,,70.60670472,-150.04978241,8,19,2008,10,34,6,-35.819707,1e25,1e25,"SM",0.0350,0.0000,4.2654,3.070263,41,
T,,70.60675199,-150.04989976,8,19,2008,10,34,22,-34.242965,1e25,1e25,"SM",0.0042,0.0042,4.2696,0.952387,16,
T,,70.60764332,-150.05037853,8,19,2008,10,35,42,-38.973591,1e25,1e25,"SM",0.0626,0.0668,4.3322,2.815063,80,
T,,70.60817180,-150.05010881,8,19,2008,10,36,30,-37.396448,1e25,1e25,"SM",0.0370,0.1038,4.3692,2.777624,48,
T,,70.60842351,-150.05012289,8,19,2008,10,37,0,-34.242965,1e25,1e25,"SM",0.0174,0.1212,4.3866,2.087327,30,
T,,70.60834237,-150.05044995,8,19,2008,10,37,18,-29.511940,1e25,1e25,"SM",0.0094,0.1306,4.3960,1.873204,18,
T,,70.60819125,-150.05034224,8,19,2008,10,37,40,-26.358056,1e25,1e25,"SM",0.0107,0.1413,4.4067,1.755843,22,
T,,70.60783384,-150.05005742,8,19,2008,10,38,11,-23.203772,1e25,1e25,"SM",0.0255,0.1669,4.4322,2.966409,31,
T,,70.60740737,-150.04965224,8,19,2008,10,38,46,-18.472747,1e25,1e25,"SM",0.0309,0.1978,4.4631,3.178053,35,
T,,70.60707327,-150.04945753,8,19,2008,10,39,13,-13.742121,1e25,1e25,"SM",0.0235,0.2213,4.4866,3.135002,27,
T,,70.60669416,-150.04930967,8,19,2008,10,39,42,-13.742121,1e25,1e25,"SM",0.0264,0.2477,4.5131,3.278850,29,
T,,70.60637866,-150.04928025,8,19,2008,10,40,7,-4.280471,1e25,1e25,"SM",0.0218,0.2695,4.5349,3.140503,25,
T,,70.60610684,-150.04942174,8,19,2008,10,40,27,0.450955,1e25,1e25,"SM",0.0191,0.2886,4.5539,3.430759,20,
T,,70.60557174,-150.04941453,8,19,2008,10,41,6,-2.703729,1e25,1e25,"SM",0.0370,0.3255,4.5909,3.412825,39,
T,,70.60519371,-150.04930959,8,19,2008,10,41,40,-5.857212,1e25,1e25,"SM",0.0262,0.3518,4.6171,2.777260,34,
T,,70.60482172,-150.04923424,8,19,2008,10,42,10,-10.588238,1e25,1e25,"SM",0.0258,0.3775,4.6429,3.091205,30,
T,,70.60450522,-150.04909342,8,19,2008,10,42,35,-9.011496,1e25,1e25,"SM",0.0221,0.3996,4.6650,3.183191,25,
T,,70.60414053,-150.04883459,8,19,2008,10,43,5,-5.857212,1e25,1e25,"SM",0.0259,0.4255,4.6909,3.106625,30,
T,,70.60389820,-150.04849738,8,19,2008,10,43,26,-4.280471,1e25,1e25,"SM",0.0184,0.4440,4.7093,3.161853,21,
T,,70.60358162,-150.04817158,8,19,2008,10,43,51,-2.703729,1e25,1e25,"SM",0.0231,0.4671,4.7324,3.328723,25,
T,,70.60323603,-150.04793521,8,19,2008,10,44,16,2.027697,1e25,1e25,"SM",0.0245,0.4916,4.7569,3.525976,25,
