X,Y,LABEL,ATTR_1,ATTR_10,ATTR_11,ATTR_12,ATTR_13,ATTR_14,ATTR_15,ATTR_2,ATTR_3,ATTR_4,ATTR_5,ATTR_6,ATTR_7,ATTR_8,ATTR_9
866618.390,7855462.978,,7,SM,0.0158,3.906,3.906,5.692847,10,21,2008,19,27,8,-7.553101,1.00E+25,1.00E+25
866643.834,7855461.315,,7,SM,0.0158,3.9218,3.9218,5.673291,10,21,2008,19,27,18,-6.111206,1.00E+25,1.00E+25
866669.681,7855461.793,,7,SM,0.016,3.9378,3.9378,5.751677,10,21,2008,19,27,28,-5.149902,1.00E+25,1.00E+25
866695.623,7855464.740,,7,SM,0.0161,3.9539,3.9539,5.809379,10,21,2008,19,27,38,-5.149902,1.00E+25,1.00E+25
866722.110,7855464.381,,7,SM,0.0164,3.9703,3.9703,5.89397,10,21,2008,19,27,48,-3.227295,1.00E+25,1.00E+25
866747.368,7855463.065,,7,SM,0.0156,3.9859,3.9859,5.628128,10,21,2008,19,27,58,-3.227295,1.00E+25,1.00E+25
866772.878,7855464.054,,7,SM,0.0158,4.0017,4.0017,5.680271,10,21,2008,19,28,8,-2.746704,1.00E+25,1.00E+25
866799.067,7855467.798,,7,SM,0.0164,4.0181,4.0181,5.886365,10,21,2008,19,28,18,-2.746704,1.00E+25,1.00E+25
866824.640,7855468.799,,7,SM,0.0158,4.0339,4.0339,5.693988,10,21,2008,19,28,28,-4.669312,1.00E+25,1.00E+25
866849.894,7855465.974,,7,SM,0.0157,4.0496,4.0496,5.654997,10,21,2008,19,28,38,-3.707886,1.00E+25,1.00E+25
866873.496,7855462.500,,7,SM,0.0147,4.0643,4.0643,5.308405,10,21,2008,19,28,48,-4.188599,1.00E+25,1.00E+25
866898.429,7855465.850,,7,SM,0.0155,4.0799,4.0799,5.597444,10,21,2008,19,28,58,-3.227295,1.00E+25,1.00E+25
866924.314,7855470.299,,7,SM,0.0162,4.0961,4.0961,5.843801,10,21,2008,19,29,8,-5.630493,1.00E+25,1.00E+25
866949.084,7855468.905,,7,SM,0.0153,4.1114,4.1114,5.520275,10,21,2008,19,29,18,-5.630493,1.00E+25,1.00E+25
866974.589,7855466.123,,7,SM,0.0159,4.1273,4.1273,5.708251,10,21,2008,19,29,28,-4.669312,1.00E+25,1.00E+25
866998.308,7855461.160,,7,SM,0.015,4.1423,4.1423,5.392902,10,21,2008,19,29,38,-4.669312,1.00E+25,1.00E+25
867022.178,7855453.770,,7,SM,0.0154,4.1577,4.1577,5.560709,10,21,2008,19,29,48,-4.669312,1.00E+25,1.00E+25
867046.967,7855445.021,,7,SM,0.0162,4.174,4.174,5.849466,10,21,2008,19,29,58,-2.746704,1.00E+25,1.00E+25
867070.252,7855436.968,,7,SM,0.0152,4.1892,4.1892,5.4834,10,21,2008,19,30,8,-2.746704,1.00E+25,1.00E+25
867093.660,7855427.804,,7,SM,0.0155,4.2047,4.2047,5.594286,10,21,2008,19,30,18,-2.265991,1.00E+25,1.00E+25
867117.465,7855417.007,,7,SM,0.0162,4.2209,4.2209,5.816912,10,21,2008,19,30,28,-2.265991,1.00E+25,1.00E+25
867139.700,7855403.875,,7,SM,0.016,4.2369,4.2369,5.747655,10,21,2008,19,30,38,-2.265991,1.00E+25,1.00E+25
