X,Y,,,,,,0,60641.1,,,,123.2091312,,
534703.4,7796155,,,,,,237.1013496,60754.6,,,,123.0993305,,
534704.5,7796155,,,,,,238.101344,60755.1,,,,123.1993341,,
534705.5,7796155,,,,,,239.1013383,60755.6,,,,123.1991585,,
534706.5,7796155,,,,,,240.2013322,60756.1,,,,123.1991631,,
534707.6,7796155,,,,,,241.2013267,60756.6,,,,123.1991673,,
534708.6,7796155,,,,,,242.3013207,60757.1,,,,123.0991719,,
534709.7,7796155,,,,,,243.3013152,60757.6,,,,123.1993532,,
534710.7,7796155,,,,,,244.3013099,60758.1,,,,123.1995609,,
534711.7,7796155,,,,,,245.401304,60758.6,,,,123.1995642,,
534712.8,7796155,,,,,,246.4012987,60759.1,,,,123.1995671,,
534713.8,7796155,,,,,,247.5012929,60759.6,,,,123.199368,,
534714.9,7796155,,,,,,248.5012877,60760.1,,,,123.1993714,,
534715.9,7796155,,,,,,249.601282,60760.6,,,,123.1992008,,
534717,7796155,,,,,,250.6012769,60761.1,,,,123.1992046,,
534718,7796155,,,,,,251.6012719,60761.6,,,,123.1993818,,
534719,7796155,,,,,,252.7012663,60762.1,,,,123.0993856,,
534720.1,7796155,,,,,,253.7012613,60762.6,,,,123.1993887,,
534721.1,7796155,,,,,,254.8012559,60763.1,,,,123.0993924,,
534722.2,7796155,,,,,,255.9012505,60763.6,,,,123.099396,,
534723.3,7796155,,,,,,256.9012456,60764.1,,,,123.0993991,,
534724.3,7796155,,,,,,257.90095,60764.6,,,,123.1996929,,
534725.3,7796154.9,,,,,,259.0009459,60765.1,,,,123.0995251,,
534726.4,7796154.9,,,,,,260.0009423,60765.6,,,,123.1995274,,
534727.4,7796154.9,,,,,,261.0006897,60766.1,,,,123.199948,,
534728.4,7796154.8,,,,,,262.1009348,60766.6,,,,123.0997013,,
534729.5,7796154.9,,,,,,263.1009312,60767.1,,,,123.1995348,,
534730.5,7796154.9,,,,,,264.2009273,60767.6,,,,123.0995374,,
534731.6,7796154.9,,,,,,265.3009235,60768.1,,,,122.9995401,,
534732.7,7796154.9,,,,,,266.30092,60768.6,,,,123.0995422,,
534733.7,7796154.9,,,,,,267.3009166,60769.1,,,,123.0995445,,
534734.7,7796154.9,,,,,,268.4006706,60769.6,,,,123.0997891,,
534735.8,7796154.8,,,,,,269.4006682,60770.1,,,,123.0997904,,
534736.8,7796154.8,,,,,,270.4006657,60770.6,,,,123.0997918,,
534737.8,7796154.8,,,,,,271.500663,60771.1,,,,123.0997932,,
534738.9,7796154.8,,,,,,272.5006605,60771.6,,,,123.0996554,,
534739.9,7796154.8,,,,,,273.6006579,60772.1,,,,122.9996573,,
534741,7796154.8,,,,,,274.6006555,60772.6,,,,123.0996588,,
534742,7796154.8,,,,,,275.7006529,60773.1,,,,122.499661,,
534743.1,7796154.8,,,,,,276.7004518,60773.6,,,,121.4998622,,
534744.1,7796154.7,,,,,,277.7004501,60774.1,,,,120.9998634,,
534745.1,7796154.7,,,,,,278.8004483,60774.6,,,,120.9998643,,
534746.2,7796154.7,,,,,,279.8002859,60775.1,,,,121.000026,,
534747.2,7796154.6,,,,,,280.9002848,60775.6,,,,120.8999143,,
534748.3,7796154.6,,,,,,281.9002838,60776.1,,,,120.9999148,,
534749.3,7796154.6,,,,,,283.0002827,60776.6,,,,120.8999154,,
534750.4,7796154.6,,,,,,284.0002817,60777.1,,,,120.8999159,,
534751.4,7796154.6,,,,,,285.1002806,60777.6,,,,120.8999164,,
534752.5,7796154.6,,,,,,286.1002796,60778.1,,,,120.8999169,,
534753.5,7796154.6,,,,,,287.1001567,60778.6,,,,121.0000393,,
534754.5,7796154.5,,,,,,288.2001561,60779.1,,,,120.9000394,,
534755.6,7796154.5,,,,,,289.2001556,60779.6,,,,120.9000395,,
534756.6,7796154.5,,,,,,290.300155,60780.1,,,,120.8999544,,
534757.7,7796154.5,,,,,,291.3001545,60780.6,,,,120.8999547,,
534758.7,7796154.5,,,,,,292.4001539,60781.1,,,,120.899955,,
534759.8,7796154.5,,,,,,293.4001534,60781.6,,,,120.8999552,,
534760.8,7796154.5,,,,,,294.5001528,60782.1,,,,120.7999556,,
534761.9,7796154.5,,,,,,295.5000677,60782.6,,,,120.9000404,,
534762.9,7796154.4,,,,,,296.5000675,60783.1,,,,120.9000404,,
534763.9,7796154.4,,,,,,297.6000672,60783.6,,,,120.8000403,,
534765,7796154.4,,,,,,298.2000671,60783.9,,,,121.3000402,,
534765.6,7796154.4,,,,,,298.2000671,60783.9,,,,122.3000399,,
534765.6,7796154.4,,,,,,298.6000167,60784.1,,,,123.00009,,
534766,7796154.3,,,,,,299.6000167,60784.6,,,,123.0000898,,
534767,7796154.3,,,,,,300.7000166,60785.1,,,,122.9000306,,
534768.1,7796154.3,,,,,,301.7000166,60785.6,,,,123.0000305,,
534769.1,7796154.3,,,,,,302.8000165,60786.1,,,,122.9000305,,
534770.2,7796154.3,,,,,,303.8000165,60786.6,,,,122.9000304,,
534771.2,7796154.3,,,,,,304.9000164,60787.1,,,,122.9000888,,
534772.3,7796154.3,,,,,,305.9000163,60787.6,,,,122.9000886,,
534773.3,7796154.3,,,,,,307.0000163,60788.1,,,,122.9000884,,
534774.4,7796154.3,,,,,,308,60788.6,,,,122.9001044,,
534775.4,7796154.2,,,,,,309.1,60789.1,,,,122.8001042,,
534776.5,7796154.2,,,,,,310.1000161,60789.6,,,,122.9000878,,
534777.5,7796154.1,,,,,,311.1000161,60790.1,,,,122.90003,,
534778.5,7796154.1,,,,,,312.200016,60790.6,,,,122.80003,,
534779.6,7796154.1,,,,,,313.200016,60791.1,,,,122.9000299,,
534780.6,7796154.1,,,,,,314.3000159,60791.6,,,,122.8000298,,
534781.7,7796154.1,,,,,,315.3000159,60792.1,,,,122.9000298,,
534782.7,7796154.1,,,,,,316.4000158,60792.6,,,,122.8000867,,
534783.8,7796154.1,,,,,,317.4000158,60793.1,,,,122.8000865,,
534784.8,7796154.1,,,,,,318.5000157,60793.6,,,,122.8000863,,
534785.9,7796154.1,,,,,,319.5000626,60794.1,,,,122.8000391,,
534786.9,7796154,,,,,,320.6000624,60794.6,,,,122.8000391,,
534788,7796154,,,,,,321.6000622,60795.1,,,,122.8000391,,
534789,7796154,,,,,,322.6001395,60795.6,,,,122.7999615,,
534790,7796153.9,,,,,,323.700139,60796.1,,,,122.6999618,,
534791.1,7796153.9,,,,,,324.7001386,60796.6,,,,122.799962,,
534792.1,7796153.9,,,,,,325.8000614,60797.1,,,,122.7000389,,
534793.2,7796154,,,,,,326.8000612,60797.6,,,,122.8000389,,
534794.2,7796154,,,,,,327.900061,60798.1,,,,122.7000389,,
534795.3,7796154,,,,,,328.9001368,60798.6,,,,122.7999628,,
534796.3,7796153.9,,,,,,330.0001364,60799.1,,,,122.699963,,
534797.4,7796153.9,,,,,,331.000136,60799.6,,,,122.6999632,,
534798.4,7796153.9,,,,,,332.1002409,60800.1,,,,122.699935,,
534799.5,7796153.8,,,,,,333.1002402,60800.6,,,,122.6999353,,
534800.5,7796153.8,,,,,,334.2002394,60801.1,,,,122.5999358,,
534801.6,7796153.8,,,,,,335.2002387,60801.6,,,,122.699936,,
534802.6,7796153.8,,,,,,336.200238,60802.1,,,,122.6999364,,
534803.6,7796153.8,,,,,,337.3002372,60802.6,,,,122.5999368,,
534804.7,7796153.8,,,,,,338.3002365,60803.1,,,,122.6999371,,
534805.7,7796153.8,,,,,,339.3002358,60803.6,,,,122.6999374,,
534806.7,7796153.8,,,,,,340.4003672,60804.1,,,,122.6999027,,
534807.8,7796153.7,,,,,,341.4003661,60804.6,,,,122.6999032,,
534808.8,7796153.7,,,,,,342.500365,60805.1,,,,122.5999038,,
534809.9,7796153.7,,,,,,343.5003639,60805.6,,,,122.7000222,,
534810.9,7796153.7,,,,,,344.6003627,60806.1,,,,122.6000225,,
534812,7796153.7,,,,,,345.6003617,60806.6,,,,122.6999052,,
534813,7796153.7,,,,,,346.7003605,60807.1,,,,122.5999058,,
534814.1,7796153.7,,,,,,347.7005177,60807.6,,,,122.5997481,,
534815.1,7796153.6,,,,,,348.7005162,60808.1,,,,122.6998656,,
534816.1,7796153.6,,,,,,349.8003573,60808.6,,,,122.6000237,,
534817.2,7796153.7,,,,,,350.8003563,60809.1,,,,122.7001611,,
534818.2,7796153.7,,,,,,351.9003552,60809.6,,,,122.6001611,,
534819.3,7796153.7,,,,,,352.9003542,60810.1,,,,122.600161,,
534820.3,7796153.7,,,,,,354.0005085,60810.6,,,,122.6000056,,
534821.4,7796153.6,,,,,,355.000507,60811.1,,,,122.6000059,,
534822.4,7796153.6,,,,,,356.1005055,60811.6,,,,122.6000063,,
534823.5,7796153.6,,,,,,357.1005041,60812.1,,,,122.6000067,,
534824.5,7796153.6,,,,,,358.200684,60812.6,,,,122.4999817,,
534825.6,7796153.5,,,,,,359.2006821,60813.1,,,,122.5999821,,
534826.6,7796153.5,,,,,,360.2006802,60813.6,,,,122.6001587,,
534827.6,7796153.5,,,,,,361.3006781,60814.1,,,,122.6001588,,
534828.7,7796153.5,,,,,,362.3004968,60814.6,,,,122.6003384,,
534829.7,7796153.6,,,,,,363.4004953,60815.1,,,,122.5003382,,
534830.8,7796153.6,,,,,,364.400494,60815.6,,,,122.6003377,,
534831.8,7796153.6,,,,,,365.4004926,60816.1,,,,122.6003373,,
534832.8,7796153.6,,,,,,366.5006685,60816.6,,,,122.6003538,,
534833.9,7796153.5,,,,,,367.5008707,60817.1,,,,122.6001495,,
534834.9,7796153.4,,,,,,368.6008681,60817.6,,,,122.50015,,
534836,7796153.4,,,,,,369.6008658,60818.1,,,,122.60015,,
534837,7796153.4,,,,,,370.7006609,60818.6,,,,122.5003529,,
534838.1,7796153.5,,,,,,371.7006591,60819.1,,,,122.5005651,,
534839.1,7796153.5,,,,,,372.8004828,60819.6,,,,122.5007386,,
534840.2,7796153.6,,,,,,373.8004815,60820.1,,,,122.5007375,,
534841.2,7796153.6,,,,,,374.8006537,60820.6,,,,122.6005626,,
534842.2,7796153.5,,,,,,375.8006519,60821.1,,,,122.4005624,,
534843.2,7796153.5,,,,,,376.90065,60821.6,,,,121.3005643,,
534844.3,7796153.5,,,,,,377.9006483,60822.1,,,,120.5007963,,
534845.3,7796153.5,,,,,,379.0006464,60822.6,,,,120.500795,,
534846.4,7796153.5,,,,,,380.0006447,60823.1,,,,120.5007938,,
534847.4,7796153.5,,,,,,381.1006429,60823.6,,,,120.5007925,,
534848.5,7796153.5,,,,,,382.1004711,60824.1,,,,120.5012102,,
