Time,File,Total,bearded seal,beluga,Unknown,bowhead,Boating,minke,Walrus,
04-Oct-07 20:24:53,shell-367F0980.a28..1191529493.2007-10-04-20-24-53.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 20:58:35,shell-367F0981.a28..1191531515.2007-10-04-20-58-35.wav_chan0.xml,0,0,0,0,0,0,0,
04-Oct-07 21:32:17,shell-367F0982.a28..1191533537.2007-10-04-21-32-17.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 22:05:58,shell-367F0983.a28..1191535558.2007-10-04-22-05-58.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 22:39:40,shell-367F0984.a28..1191537580.2007-10-04-22-39-40.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 23:13:22,shell-367F0985.a28..1191539602.2007-10-04-23-13-22.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 23:47:05,shell-367F0986.a28..1191541625.2007-10-04-23-47-05.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 00:20:48,shell-367F0987.a28..1191543648.2007-10-05-00-20-48.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 00:54:33,shell-367F0988.a28..1191545673.2007-10-05-00-54-33.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 01:28:17,shell-367F0989.a28..1191547697.2007-10-05-01-28-17.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 02:02:01,shell-367F0990.a28..1191549721.2007-10-05-02-02-01.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 02:35:46,shell-367F0991.a28..1191551746.2007-10-05-02-35-46.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 03:09:30,shell-367F0992.a28..1191553770.2007-10-05-03-09-30.wav_chan0.xml,1,1,0,0,0,0,0,0,
05-Oct-07 03:43:12,shell-367F0993.a28..1191555792.2007-10-05-03-43-12.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 04:16:54,shell-367F0994.a28..1191557814.2007-10-05-04-16-54.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 04:50:35,shell-367F0995.a28..1191559835.2007-10-05-04-50-35.wav_chan0.xml,1,1,0,0,0,0,0,0,
05-Oct-07 05:24:17,shell-367F0996.a28..1191561857.2007-10-05-05-24-17.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 05:57:58,shell-367F0997.a28..1191563878.2007-10-05-05-57-58.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 06:31:40,shell-367F0998.a28..1191565900.2007-10-05-06-31-40.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 07:05:22,shell-367F0999.a28..1191567922.2007-10-05-07-05-22.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 07:39:03,shell-367F1000.a28..1191569943.2007-10-05-07-39-03.wav_chan0.xml,1,1,0,0,0,0,0,0,
05-Oct-07 08:12:46,shell-367F1001.a28..1191571966.2007-10-05-08-12-46.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 08:46:29,shell-367F1002.a28..1191573989.2007-10-05-08-46-29.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 09:20:13,shell-367F1003.a28..1191576013.2007-10-05-09-20-13.wav_chan0.xml,0,0,0,0,0,0,
05-Oct-07 09:53:57,shell-367F1004.a28..1191578037.2007-10-05-09-53-57.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 10:27:42,shell-367F1005.a28..1191580062.2007-10-05-10-27-42.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 11:01:26,shell-367F1006.a28..1191582086.2007-10-05-11-01-26.wav_chan0.xml,4,0,1,2,1,0,0,0,
05-Oct-07 11:35:10,shell-367F1007.a28..1191584110.2007-10-05-11-35-10.wav_chan0.xml,2,2,0,0,0,0,0,0,
05-Oct-07 12:08:52,shell-367F1008.a28..1191586132.2007-10-05-12-08-52.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 12:42:34,shell-367F1009.a28..1191588154.2007-10-05-12-42-34.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 13:16:15,shell-367F1010.a28..1191590175.2007-10-05-13-16-15.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 13:49:57,shell-367F1011.a28..1191592197.2007-10-05-13-49-57.wav_chan0.xml,0,0,0,0,0,0,0,0,
05-Oct-07 14:23:38,shell-367F1012.a28..1191594218.2007-10-05-14-23-38.wav_chan0.xml,0,0,0,0,0,0,0,0,
