Time,File,Total,bearded seal,Unknown,fin whale,killer whale,Walrus,Boating,minke,
03-Aug-07 04:41:30,shell-00EA0597.a26..1186116090.2007-08-03-04-41-30.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 05:15:22,shell-00EA0598.a26..1186118122.2007-08-03-05-15-22.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 05:49:14,shell-00EA0599.a26..1186120154.2007-08-03-05-49-14.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 06:23:05,shell-00EA0600.a26..1186122185.2007-08-03-06-23-05.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 06:56:57,shell-00EA0601.a26..1186124217.2007-08-03-06-56-57.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 07:30:50,shell-00EA0602.a26..1186126250.2007-08-03-07-30-50.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 08:04:43,shell-00EA0603.a26..1186128283.2007-08-03-08-04-43.wav_chan0.xml,4,1,3,0,0,0,0,0,
03-Aug-07 08:38:37,shell-00EA0604.a26..1186130317.2007-08-03-08-38-37.wav_chan0.xml,0,0,0,0,0,0,0,
03-Aug-07 09:12:32,shell-00EA0605.a26..1186132352.2007-08-03-09-12-32.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 09:46:25,shell-00EA0606.a26..1186134385.2007-08-03-09-46-25.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 10:20:20,shell-00EA0607.a26..1186136420.2007-08-03-10-20-20.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 10:54:13,shell-00EA0608.a26..1186138453.2007-08-03-10-54-13.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 11:28:05,shell-00EA0609.a26..1186140485.2007-08-03-11-28-05.wav_chan0.xml,2,0,2,0,0,0,0,0,
03-Aug-07 12:01:57,shell-00EA0610.a26..1186142517.2007-08-03-12-01-57.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Aug-07 12:35:48,shell-00EA0611.a26..1186144548.2007-08-03-12-35-48.wav_chan0.xml,0,0,0,0,0,0,0,0,
