Time,File,Total,Unknown,bowhead,bearded seal,beluga,Boating,minke,Walrus,
03-Oct-07 16:19:34,shell-00EA0894.a26..1191428374.2007-10-03-16-19-34.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 16:53:28,shell-00EA0895.a26..1191430408.2007-10-03-16-53-28.wav_chan0.xml,1,1,0,0,0,0,0,0,
03-Oct-07 17:27:22,shell-00EA0896.a26..1191432442.2007-10-03-17-27-22.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 18:01:13,shell-00EA0897.a26..1191434473.2007-10-03-18-01-13.wav_chan0.xml,5,3,2,0,0,0,0,0,
03-Oct-07 18:35:04,shell-00EA0898.a26..1191436504.2007-10-03-18-35-04.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 19:08:56,shell-00EA0899.a26..1191438536.2007-10-03-19-08-56.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 19:42:47,shell-00EA0900.a26..1191440567.2007-10-03-19-42-47.wav_chan0.xml,0,0,0,0,0,
03-Oct-07 20:16:39,shell-00EA0901.a26..1191442599.2007-10-03-20-16-39.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 20:50:30,shell-00EA0902.a26..1191444630.2007-10-03-20-50-30.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 21:24:22,shell-00EA0903.a26..1191446662.2007-10-03-21-24-22.wav_chan0.xml,1,1,0,0,0,0,0,0,
03-Oct-07 21:58:13,shell-00EA0904.a26..1191448693.2007-10-03-21-58-13.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 22:32:06,shell-00EA0905.a26..1191450726.2007-10-03-22-32-06.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 23:05:59,shell-00EA0906.a26..1191452759.2007-10-03-23-05-59.wav_chan0.xml,0,0,0,0,0,0,0,0,
03-Oct-07 23:39:52,shell-00EA0907.a26..1191454792.2007-10-03-23-39-52.wav_chan0.xml,0,0,0,0,0,
04-Oct-07 00:13:47,shell-00EA0908.a26..1191456827.2007-10-04-00-13-47.wav_chan0.xml,0,0,0,0,0,
04-Oct-07 00:47:41,shell-00EA0909.a26..1191458861.2007-10-04-00-47-41.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 01:21:35,shell-00EA0910.a26..1191460895.2007-10-04-01-21-35.wav_chan0.xml,1,0,0,1,0,0,0,0,
04-Oct-07 01:55:29,shell-00EA0911.a26..1191462929.2007-10-04-01-55-29.wav_chan0.xml,4,0,0,4,0,0,0,0,
04-Oct-07 02:29:20,shell-00EA0912.a26..1191464960.2007-10-04-02-29-20.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 03:03:11,shell-00EA0913.a26..1191466991.2007-10-04-03-03-11.wav_chan0.xml,2,0,0,2,0,0,0,0,
04-Oct-07 03:37:03,shell-00EA0914.a26..1191469023.2007-10-04-03-37-03.wav_chan0.xml,7,0,0,7,0,0,0,0,
04-Oct-07 04:10:54,shell-00EA0915.a26..1191471054.2007-10-04-04-10-54.wav_chan0.xml,2,0,1,1,0,0,0,0,
04-Oct-07 04:44:46,shell-00EA0916.a26..1191473086.2007-10-04-04-44-46.wav_chan0.xml,3,0,0,3,0,0,0,0,
04-Oct-07 05:18:38,shell-00EA0917.a26..1191475118.2007-10-04-05-18-38.wav_chan0.xml,4,0,1,3,0,0,0,0,
04-Oct-07 05:52:29,shell-00EA0918.a26..1191477149.2007-10-04-05-52-29.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 06:26:21,shell-00EA0919.a26..1191479181.2007-10-04-06-26-21.wav_chan0.xml,0,0,0,0,
04-Oct-07 07:00:12,shell-00EA0920.a26..1191481212.2007-10-04-07-00-12.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 07:34:04,shell-00EA0921.a26..1191483244.2007-10-04-07-34-04.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 08:07:57,shell-00EA0922.a26..1191485277.2007-10-04-08-07-57.wav_chan0.xml,0,0,0,0,0,0,0,0,
04-Oct-07 08:41:51,shell-00EA0923.a26..1191487311.2007-10-04-08-41-51.wav_chan0.xml,0,0,0,0,0,0,0,0,
